Materials,CAS,smiles,Compounds,beta,T,PU,EPE,paper,group
EPE,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.013,5,0,1,0,training
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,UV-328,0.013,25,0,0,1,training
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,UV-328,0.029,40,0,0,1,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,0.179,40,1,0,0,training
PU,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.197,40,1,0,0,training
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.209,40,1,0,0,training
PU,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.238,5,1,0,0,training
EPE,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.312,25,0,1,0,training
EPE,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.329,25,0,1,0,training
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,UV-328,0.341,40,1,0,0,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.344,40,1,0,0,test
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.348,5,1,0,0,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.353,5,1,0,0,training
PU,117-83-9,CCCCOCCOC(=O)C1=CC=CC=C1C(=O)OCCOCCCC,DBEP,0.353,25,1,0,0,test
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,UV-328,0.361,25,1,0,0,training
EPE,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.385,40,0,1,0,training
PU,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.386,25,1,0,0,test
EPE,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.398,5,0,1,0,training
EPE,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.404,40,0,1,0,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.41,25,1,0,0,training
PU,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.416,40,1,0,0,test
PU,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC,UV-328,0.422,5,1,0,0,training
EPE,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.427,40,0,1,0,test
EPE,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.43,5,0,1,0,training
PU,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.436,25,1,0,0,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.463,40,1,0,0,training
PU,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.463,25,1,0,0,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.467,25,1,0,0,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,0.485,25,1,0,0,test
EPE,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.487,25,0,1,0,training
PU,13674-84-5,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,TCPP,0.5,5,1,0,0,training
PU,84-69-5,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,DIBP,0.509,5,1,0,0,test
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.515,40,1,0,0,training
PU,149-57-5,CCCCC(CC)C(=O)O,EHA,0.518,5,1,0,0,test
PU,109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,DBS,0.534,40,1,0,0,training
PU,126-73-8,CCCCOP(=O)(OCCCC)OCCCC,TBP,0.54,5,1,0,0,training
PU,109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,DBS,0.546,25,1,0,0,training
EPE,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BP,0.564,25,0,1,0,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.57,5,0,0,1,training
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.575,25,0,0,1,test
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.576,40,0,0,1,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.582,40,1,0,0,training
EPE,109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,DBS,0.582,40,0,1,0,test
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.585,40,0,0,1,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.601,25,0,0,1,training
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.608,5,0,0,1,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.634,25,1,0,0,training
PU,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,DMP,0.64,5,1,0,0,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.656,5,1,0,0,training
EPE,126-71-6,CC(C)COP(=O)(OCC(C)C)OCC(C)C,TIBP,0.712,25,0,1,0,test
EPE,126-71-6,CC(C)COP(=O)(OCC(C)C)OCC(C)C,TIBP,0.74,40,0,1,0,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.759,5,0,0,1,training
EPE,126-71-6,CC(C)COP(=O)(OCC(C)C)OCC(C)C,TIBP,0.769,5,0,1,0,training
EPE,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BP,0.803,5,0,1,0,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.807,25,1,0,0,training
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC,DPHP,0.841,25,0,0,1,test
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC,DPHP,0.851,40,0,0,1,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,DOTP,0.855,25,0,0,1,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,DOTP,0.874,40,0,0,1,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.886,25,0,0,1,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.888,40,0,0,1,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,1.17,40,1,0,0,training
EPE,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BP,1.39,40,0,1,0,training
